driver,lap1,lap2,lap3,lap4,lap5,lap6,lap7,lap8,lap9,lap10,lap11,lap12,lap13,lap14,lap15,lap16,lap17,lap18,lap19,lap20,lap21,lap22,lap23,lap24,lap25,lap26,lap27,lap28,lap29,lap30,lap31,lap32,lap33,lap34,lap35
PIQ,2:36.547,2:05.675,2:07.068,2:05.606,2:00.905,2:02.944,2:00.881,2:00.009,1:59.240,1:59.765,1:58.897,1:59.034,1:59.917,2:00.227,,,,,,,,,,,,,,,,,,,,,
FABI,2:27.144,2:11.250,2:09.288,2:10.458,2:04.985,2:04.465,2:04.657,2:06.844,2:06.243,,,,,,,,,,,,,,,,,,,,,,,
BEL,2:30.600,2:02.919,2:00.917,1:59.266,1:58.906,1:58.624,1:58.645,1:57.981,1:57.657,1:58.144,1:58.986,1:58.862,1:59.043,1:59.743,1:57.358,1:57.337,1:57.404,1:57.234,1:57.763,1:58.781,1:58.705,1:55.353,1:55.380,1:57.259,1:56.202,1:55.411,1:56.175,1:55.080,1:54.978,1:58.949,1:59.219
LAF,2:20.374,2:04.145,2:02.871,2:01.670,2:00.889,1:59.968,2:03.119,2:04.748,2:33.405,2:10.126,2:04.305,2:03.483,2:06.505,2:04.872,2:04.331,2:03.642,2:02.490,2:01.120,1:59.979,2:00.751,2:01.392,2:00.849,2:04.596,1:59.345,1:56.946,2:00.778,2:00.196,2:00.114,2:05.144,2:05.312,,,,,
ROS,2:17.112,2:03.294,2:00.937,1:59.945,1:59.564,2:00.055,1:59.470,1:59.817,1:59.389,1:58.715,1:58.706,2:01.093,1:59.002,1:58.874,1:58.216,1:59.087,1:58.177,1:57.273,1:58.278,1:58.560,2:00.855,1:59.429,1:57.605,1:56.177,1:55.775,1:55.858,1:55.778,1:56.134,1:57.730,1:59.693,2:02.388
PRO,2:05.735,1:58.764,1:57.403,1:58.926,1:56.805,1:57.051,1:56.928,1:56.412,1:56.391,1:57.471,2:02.457,1:57.789,1:58.234,1:58.130,1:58.462,1:59.189,1:57.133,1:56.130,1:55.596,1:56.684,1:56.264,1:56.144,1:57.618,1:56.873,1:56.641,1:56.848,1:59.669,2:00.193,1:59.436,2:02.598,2:03.766
LAU,2:15.595,1:59.929,1:59.970,1:59.487,1:59.120,1:59.698,1:59.139,1:59.005,1:57.526,1:58.871,2:01.704,1:59.207,1:57.959,1:58.460,1:58.508,2:00.890,1:59.200,1:58.702,2:00.991,1:57.493,1:57.886,1:56.996,1:57.033,,,,,,,,,,
EDA,2:32.162,2:06.889,2:05.762,2:00.043,1:59.826,1:58.963,1:58.533,1:59.072,1:59.377,1:58.077,1:59.512,1:57.855,1:57.498,1:58.524,2:02.166,2:01.207,1:56.473,1:58.377,1:58.252,1:55.447,1:55.472,1:55.085,1:55.857,1:57.374,1:55.279,1:55.026,1:57.740,1:56.038,1:57.504,2:01.292,2:01.497
MAN,2:06.678,2:00.136,1:58.104,1:58.378,1:57.134,1:58.140,1:55.775,1:55.682,1:56.235,1:56.471,1:59.414,1:57.529,1:55.112,1:58.636,1:55.159,,,,,,,,,,,,,,,,,
WIN,2:19.239,2:04.454,2:00.752,1:59.800,1:59.249,1:59.200,2:01.111,1:59.318,1:59.490,2:00.265,1:58.881,1:59.141,1:59.046,1:59.913,2:01.866,2:01.293,1:59.598,1:57.812,1:56.935,1:56.762,1:55.712,1:57.198,,,,,,,,,,,
SEN,2:21.194,2:04.449,1:59.946,1:59.677,1:59.072,1:59.454,1:58.209,1:59.014,1:59.327,1:59.738,1:58.159,1:56.914,1:56.280,1:56.596,1:57.181,2:01.039,1:59.031,1:57.899,1:56.182,1:56.170,1:57.551,1:55.226,1:54.674,1:54.334,1:55.650,1:55.253,1:55.232,1:56.628,1:56.666,1:59.008,1:59.433
COC,2:35.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT,2:35.376,2:05.753,2:07.118,2:02.184,2:01.940,2:24.296,2:04.133,2:04.122,2:03.459,2:06.372,2:05.045,2:04.796,2:02.047,2:02.490,2:05.141,2:02.225,2:01.884,2:00.596,2:01.740,2:03.918,2:00.288,2:03.758,1:58.636,1:58.527,,,,,,,,,,,
GHI,2:31.635,2:07.252,2:05.219,1:59.731,1:59.433,1:59.261,1:58.721,1:58.700,1:59.816,1:57.439,1:59.713,1:57.736,1:57.794,1:58.560,2:01.302,1:59.874,1:58.261,1:59.048,2:00.782,2:00.557,1:58.549,2:35.421,2:05.099,2:02.901,2:01.275,2:04.657,2:06.014,2:05.733,2:07.777,2:06.542,,,,,
HES,2:41.031,2:03.205,2:05.071,2:02.266,2:01.251,2:03.046,2:00.168,2:11.097,2:00.074,2:00.241,2:00.497,1:59.644,,,,,,,,,,,,,,,,,,,,,
ALB,2:12.029,2:01.736,2:00.768,2:02.267,1:58.892,2:00.643,1:59.115,2:00.200,3:25.447,2:04.735,2:00.256,1:59.452,2:01.518,1:58.958,1:59.699,1:59.238,1:57.993,1:58.090,1:56.766,1:56.394,1:57.257,1:55.437,1:56.478,1:56.586,1:55.910,1:57.091,1:56.932,1:57.275,1:59.049,2:02.193,,,,,
ARN,2:09.626,2:01.756,2:01.066,2:00.433,2:00.576,2:01.461,1:59.825,1:59.858,1:59.381,1:59.220,1:59.343,1:59.044,1:58.919,2:01.084,1:58.610,2:00.077,1:58.583,1:58.350,1:58.545,1:58.082,1:57.355,1:56.747,1:57.276,1:57.236,1:56.136,1:55.541,1:59.291,1:56.814,1:57.025,1:59.762,1:59.795
