position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,q1,q2,q3,gap,interval,laps,year,race
14,5,sebastian-vettel,ferrari,ferrari,pirelli,1:15.571,1:15.385,,,,20,2020,emilia-romagna
12,5,sebastian-vettel,ferrari,ferrari,pirelli,2:03.356,1:55.169,,,,18,2020,turkey
11,5,sebastian-vettel,ferrari,ferrari,pirelli,1:29.142,1:29.149,,,,11,2020,bahrain
13,5,sebastian-vettel,ferrari,ferrari,pirelli,54.301,54.175,,,,17,2020,sakhir
13,5,sebastian-vettel,ferrari,ferrari,pirelli,1:36.655,1:36.631,,,,12,2020,abu-dhabi
18,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:32.056,,,,,6,2021,bahrain
13,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:15.459,1:15.394,,,,14,2021,emilia-romagna
10,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:19.403,1:18.970,1:19.659,+1.311,+0.184,22,2021,portugal
13,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:18.289,1:18.079,,,,12,2021,spain
8,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:12.078,1:11.309,1:11.419,+1.073,+0.324,26,2021,monaco
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:42.460,1:42.224,,,,15,2021,azerbaijan
12,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:32.132,1:31.767,,,,12,2021,france
14,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:05.051,1:04.875,,,,15,2021,styria
8,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:04.846,1:04.493,1:04.570,+0.850,+0.297,20,2021,austria
10,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:27.493,1:27.103,1:27.179,+1.045,+0.172,15,2021,great-britain
10,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:17.105,1:16.794,1:16.750,+1.331,+0.035,15,2021,hungary
5,5,sebastian-vettel,aston-martin,mercedes,pirelli,2:00.175,1:56.814,2:00.935,+1.170,+0.071,23,2021,belgium
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:10.731,,,,,7,2021,netherlands
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:21.394,1:20.913,,,,14,2021,italy
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:47.205,1:46.573,,,,18,2021,russia
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:25.787,1:24.795,,,,19,2021,turkey
12,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:35.281,1:35.500,,,,9,2021,united-states
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:17.502,1:17.746,,,,16,2021,mexico
11,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:09.451,1:09.399,,,,15,2021,brazil
10,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:22.549,1:22.146,1:22.785,+1.958,+0.757,21,2021,qatar
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:29.198,,,,,10,2021,saudi-arabia
15,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:24.225,1:24.305,,,,18,2021,abu-dhabi
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:21.149,,,,,3,2022,australia
9,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:20.364,1:19.957,1:31.062,+3.063,+0.623,25,2022,emilia-romagna
13,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:30.677,1:30.214,,,,15,2022,miami
16,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:20.954,,,,,6,2022,spain
9,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:13.313,1:12.613,1:12.732,+1.356,+0.172,28,2022,monaco
9,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:43.279,1:43.268,1:43.091,+1.732,+0.035,18,2022,azerbaijan
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:34.512,,,,,12,2022,canada
18,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:42.666,,,,,9,2022,great-britain
20,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:07.083,,,,,12,2022,austria
14,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:33.285,1:33.276,,,,15,2022,france
18,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:19.273,,,,,10,2022,hungary
16,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:46.344,,,,,6,2022,belgium
19,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:12.391,,,,,8,2022,netherlands
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:22.636,,,,,7,2022,italy
14,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:55.602,1:54.380,,,,15,2022,singapore
9,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:31.256,1:30.656,1:30.554,+1.250,+0.165,15,2022,japan
12,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:36.695,1:36.398,,,,12,2022,united-states
17,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:20.419,,,,,10,2022,mexico
13,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:13.597,1:11.678,,,,23,2022,brazil
9,5,sebastian-vettel,aston-martin,mercedes,pirelli,1:25.523,1:24.974,1:24.961,+1.137,+0.131,18,2022,abu-dhabi
