position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
16,19,ayrton-senna,toleman,hart,pirelli,1:33.525,+5.133,+0.248,,1984,brazil
13,19,ayrton-senna,toleman,hart,pirelli,1:06.981,+2.110,+0.007,,1984,south-africa
19,19,ayrton-senna,toleman,hart,pirelli,1:18.876,+4.030,+0.028,,1984,belgium
26,19,ayrton-senna,toleman,hart,pirelli,1:41.585,+13.068,+0.795,,1984,san-marino
13,19,ayrton-senna,toleman,hart,michelin,1:05.744,+3.544,+0.334,,1984,france
13,19,ayrton-senna,toleman,hart,michelin,1:25.009,+2.348,+0.536,,1984,monaco
9,19,ayrton-senna,toleman,hart,michelin,1:27.448,+2.006,+0.056,,1984,canada
7,19,ayrton-senna,toleman,hart,michelin,1:42.651,+1.671,+0.014,,1984,detroit
6,19,ayrton-senna,toleman,hart,michelin,1:38.256,+1.215,+0.269,,1984,dallas
7,19,ayrton-senna,toleman,hart,michelin,1:11.890,+1.021,+0.187,,1984,great-britain
9,19,ayrton-senna,toleman,hart,michelin,1:49.395,+2.383,+0.093,,1984,germany
10,19,ayrton-senna,toleman,hart,michelin,1:29.200,+3.027,+0.440,,1984,austria
13,19,ayrton-senna,toleman,hart,michelin,1:15.960,+2.393,+0.149,,1984,netherlands
12,19,ayrton-senna,toleman,hart,michelin,1:22.439,+3.568,+0.191,,1984,europe
3,19,ayrton-senna,toleman,hart,michelin,1:21.936,+0.233,+0.162,,1984,portugal
4,12,ayrton-senna,lotus,renault,goodyear,1:28.389,+0.621,+0.308,,1985,brazil
1,12,ayrton-senna,lotus,renault,goodyear,1:21.007,,,,1985,portugal
1,12,ayrton-senna,lotus,renault,goodyear,1:27.327,,,,1985,san-marino
1,12,ayrton-senna,lotus,renault,goodyear,1:20.450,,,,1985,monaco
2,12,ayrton-senna,lotus,renault,goodyear,1:24.816,+0.249,+0.249,,1985,canada
1,12,ayrton-senna,lotus,renault,goodyear,1:42.051,,,,1985,detroit
2,12,ayrton-senna,lotus,renault,goodyear,1:32.835,+0.373,+0.373,,1985,france
4,12,ayrton-senna,lotus,renault,goodyear,1:06.324,+0.733,+0.016,,1985,great-britain
5,12,ayrton-senna,lotus,renault,goodyear,1:18.792,+1.363,+0.011,,1985,germany
14,12,ayrton-senna,lotus,renault,goodyear,1:28.123,+2.633,+0.117,,1985,austria
4,12,ayrton-senna,lotus,renault,goodyear,1:11.837,+0.763,+0.036,,1985,netherlands
1,12,ayrton-senna,lotus,renault,goodyear,1:25.084,,,,1985,italy
2,12,ayrton-senna,lotus,renault,goodyear,1:55.403,+0.097,+0.097,,1985,belgium
1,12,ayrton-senna,lotus,renault,goodyear,1:07.169,,,,1985,europe
4,12,ayrton-senna,lotus,renault,goodyear,1:02.825,+0.459,+0.321,,1985,south-africa
1,12,ayrton-senna,lotus,renault,goodyear,1:19.843,,,,1985,australia
1,12,ayrton-senna,lotus,renault,goodyear,1:25.501,,,,1986,brazil
1,12,ayrton-senna,lotus,renault,goodyear,1:21.605,,,,1986,spain
1,12,ayrton-senna,lotus,renault,goodyear,1:25.050,,,,1986,san-marino
3,12,ayrton-senna,lotus,renault,goodyear,1:23.175,+0.548,+0.128,,1986,monaco
4,12,ayrton-senna,lotus,renault,goodyear,1:54.576,+0.245,+0.075,,1986,belgium
2,12,ayrton-senna,lotus,renault,goodyear,1:24.188,+0.070,+0.070,,1986,canada
1,12,ayrton-senna,lotus,renault,goodyear,1:38.301,,,,1986,detroit
1,12,ayrton-senna,lotus,renault,goodyear,1:06.526,,,,1986,france
3,12,ayrton-senna,lotus,renault,goodyear,1:07.524,+0.563,+0.125,,1986,great-britain
3,12,ayrton-senna,lotus,renault,goodyear,1:42.329,+0.316,+0.163,,1986,germany
1,12,ayrton-senna,lotus,renault,goodyear,1:29.450,,,,1986,hungary
8,12,ayrton-senna,lotus,renault,goodyear,1:25.249,+1.700,+0.552,,1986,austria
5,12,ayrton-senna,lotus,renault,goodyear,1:24.916,+0.838,+0.031,,1986,italy
1,12,ayrton-senna,lotus,renault,goodyear,1:16.673,,,,1986,portugal
1,12,ayrton-senna,lotus,renault,goodyear,1:16.990,,,,1986,mexico
3,12,ayrton-senna,lotus,renault,goodyear,1:18.906,+0.503,+0.192,,1986,australia
3,12,ayrton-senna,lotus,honda,goodyear,1:28.408,+2.280,+1.841,,1987,brazil
1,12,ayrton-senna,lotus,honda,goodyear,1:25.826,,,,1987,san-marino
